i,stock
0,100
1,95
2,90
3,85
4,100
5,95
6,80
7,85
8,100
9,105
10,100
11,90
12,100
13,90
14,85
15,70
16,85
17,70
18,80
19,70
20,75
21,80
22,90
23,95
24,110
25,125
26,130
27,125
28,130
29,115
30,100
31,90
32,100
33,95
34,85
35,100
36,110
37,95
38,85
39,70
40,65
41,60
42,50
43,45
44,50
45,35
46,30
47,40
48,55
49,60
50,65
51,75
52,65
53,55
54,60
55,75
56,80
57,90
58,75
59,80
60,85
61,90
62,75
63,90
64,105
65,95
66,85
67,80
68,65
69,60
70,75
71,65
72,80
73,90
74,105
75,120
76,115
77,100
78,105
79,95
