i,stock
0,100
1,115
2,110
3,125
4,140
5,150
6,165
7,150
8,145
9,140
10,150
11,155
12,165
13,160
14,175
15,170
16,180
17,175
18,165
19,160
20,165
21,170
22,175
23,170
24,155
25,140
26,150
27,165
28,175
29,185
30,190
31,175
32,165
33,150
34,155
35,165
36,150
37,160
38,150
39,160
40,165
41,150
42,140
43,135
44,130
45,140
46,155
47,170
48,165
49,170
50,180
51,185
52,180
53,170
54,155
55,140
56,145
57,155
58,170
59,185
60,190
61,195
62,205
63,190
64,195
65,210
66,205
67,200
68,185
69,170
70,165
71,170
72,165
73,150
74,140
75,150
76,165
77,160
78,175
79,160
